ZBEDROOMS,NCOMBATH,TOTROOMS,ROOFTYPE,FUELPOOL,RECBATH,TOTSQFT_EN,KWH
0,1,9,5,-2,0,3528,28857.999
0,2,6,5,-2,0,2290,8994.0
0,3,13,5,-2,0,6790,17936.0
0,1,9,3,-2,0,2545,18541.286
0,2,7,5,-2,0,2340,19444.088
0,2,7,5,-2,0,2520,16406.533
0,1,7,2,-2,0,1891,6832.615
0,1,6,5,-2,0,1284,9602.0
0,1,5,5,-2,0,828,1557.4979999999998
0,1,4,5,-2,0,890,7601.74
0,1,4,-2,-2,0,761,1595.27
0,2,7,3,-2,0,1352,17645.0
0,3,8,5,-2,0,1578,13567.0
0,1,4,5,-2,0,1255,6929.633000000001
0,1,1,-2,-2,0,612,5298.368
0,1,5,-2,-2,0,1237,7515.0
0,1,5,5,-2,0,1910,12519.995
0,1,4,5,-2,0,1051,13456.919
0,1,3,5,-2,0,792,9268.0
0,2,5,5,-2,0,4692,3844.3940000000002
0,2,6,3,-2,0,1350,8426.17
0,1,4,3,-2,0,744,12030.344
0,3,8,5,-2,0,2733,14664.145
0,2,7,5,-2,0,4476,21942.716
0,1,6,1,-2,0,1766,4085.478
0,2,7,5,-2,0,1317,12368.0
0,2,10,5,2,1,5726,20598.0
0,2,9,5,-2,0,2904,14014.138
0,3,10,5,-2,1,3930,17831.453999999998
0,2,8,3,-2,0,2640,3058.1820000000002
0,2,5,-2,-2,0,1551,6120.861
0,4,13,5,-2,1,6095,26461.735
0,2,8,5,-2,1,2792,18441.697
0,1,5,5,-2,0,1520,2934.0
0,2,8,5,-2,0,3176,17500.909
0,1,4,5,-2,0,2000,13806.848999999998
0,1,9,3,-2,0,3449,12780.0
0,1,6,4,-2,0,1436,4256.968
0,2,6,5,-2,1,1451,25529.113999999998
0,3,5,5,-2,0,1684,12639.235
0,3,8,3,-2,0,3655,22049.113999999998
0,2,10,3,-2,0,1807,19015.29
0,2,4,5,-2,1,1873,21704.55
0,1,4,2,-2,0,964,6035.892
0,1,5,7,-2,0,646,1249.0230000000001
0,2,6,3,-2,0,2250,10778.25
